bs,bw
1,53760.0
1,52531.2
1,52224.0
1,53350.4
2,107520.0
2,107520.0
2,105472.0
3,159744.0
3,161792.0
4,217088.0
4,215040.0
5,266240.0
6,315392.0
6,322560.0
8,416768.0
9,476160.0
10,537600.0
12,631808.0
13,692224.0
16,849920.0
18,947200.0
21,1113088.0
24,1260544.0
27,1429504.0
32,1660928.0
36,1906688.0
42,2225152.0
48,2558976.0
55,2907136.0
64,3338240.0
73,3761152.0
84,4409344.0
97,5065728.0
111,5805056.0
128,6708224.0
147,7548928.0
168,8783872.0
194,10172416.0
222,11324620.8
256,13316915.2
294,15204352.0
337,16986931.2
388,19818086.4
445,22439526.4
512,25794969.6
588,29464985.6
675,32715571.2
776,36071014.4
891,39426457.6
1024,41313894.4
1176,43515904.0
1351,45613056.0
1552,47710208.0
1782,48653926.4
2048,50121932.8
2352,52533657.6
2702,53896806.4
3104,55469670.4
3565,57042534.4
4096,46556774.4
4705,57776537.6
5404,58615398.4
6208,59244544.0
7131,59768832.0
8192,57671680.0
9410,60922265.6
10809,61761126.4
12416,61656268.8
14263,62495129.6
16384,67842867.2
18820,62180556.8
21618,63124275.2
24833,63124275.2
28526,63229132.8
32768,73505177.6
37640,64067993.6
43237,63543705.6
49667,65116569.6
57052,64801996.8
65536,78223769.6
75281,63124275.2
86475,61551411.2
99334,64801996.8
114104,64487424.0
131072,85878374.4
150562,66165145.6
172950,65221427.2
198668,65745715.2
228209,64801996.8
262144,90282393.6
301124,65431142.4
345901,65850572.8
397336,65536000.0
456419,65745715.2
524288,93847552.0
602248,66899148.8
691802,65640857.6
794672,67633152.0
912838,66060288.0
1048576,96259276.8
1204497,66794291.2
1383604,67213721.6
1589344,67738009.6
1825676,68472012.8
2097152,97412710.4
2408995,69835161.6
2767208,70254592.0
3178688,69520588.8
3651353,69520588.8
4194304,108003328.0
4817990,75078041.6
5534417,71198310.4
6357376,72246886.4
7302707,70464307.2
